,中华人民共和国,0,,1645349604927082496,0,0,,1,7270
230200000000,齐齐哈尔市,2,,1645349649797746689,0,0,1645349607468830724,1523,1558
230300000000,鸡西市,2,,1645349649797746690,0,0,1645349607468830724,1559,1580
230400000000,鹤岗市,2,,1645349649797746691,0,0,1645349607468830724,1581,1600
230500000000,双鸭山市,2,,1645349649801940992,0,0,1645349607468830724,1601,1620
230600000000,大庆市,2,,1645349649801940993,0,0,1645349607468830724,1621,1644
230700000000,伊春市,2,,1645349649801940994,0,0,1645349607468830724,1645,1668
230800000000,佳木斯市,2,,1645349649801940995,0,0,1645349607468830724,1669,1692
230900000000,七台河市,2,,1645349649801940996,0,0,1645349607468830724,1693,1704
231000000000,牡丹江市,2,,1645349649801940997,0,0,1645349607468830724,1705,1730
231100000000,黑河市,2,,1645349649801940998,0,0,1645349607468830724,1731,1746
231200000000,绥化市,2,,1645349649801940999,0,0,1645349607468830724,1747,1770
232700000000,大兴安岭地区,2,,1645349649806135296,0,0,1645349607468830724,1771,1786
130601000000,市辖区,3,,1645349651676794880,0,0,1645349629614755842,276,277
130602000000,竞秀区,3,,1645349651680989184,0,0,1645349629614755842,278,279
130606000000,莲池区,3,,1645349651680989185,0,0,1645349629614755842,280,281
130607000000,满城区,3,,1645349651680989186,0,0,1645349629614755842,282,283
130608000000,清苑区,3,,1645349651680989187,0,0,1645349629614755842,284,285
130609000000,徐水区,3,,1645349651680989188,0,0,1645349629614755842,286,287
130623000000,涞水县,3,,1645349651685183488,0,0,1645349629614755842,288,289
130624000000,阜平县,3,,1645349651685183489,0,0,1645349629614755842,290,291
130626000000,定兴县,3,,1645349651685183490,0,0,1645349629614755842,292,293
130627000000,唐县,3,,1645349651685183491,0,0,1645349629614755842,294,295
130628000000,高阳县,3,,1645349651685183492,0,0,1645349629614755842,296,297
130629000000,容城县,3,,1645349651685183493,0,0,1645349629614755842,298,299
130630000000,涞源县,3,,1645349651685183494,0,0,1645349629614755842,300,301
130631000000,望都县,3,,1645349651685183495,0,0,1645349629614755842,302,303
130632000000,安新县,3,,1645349651685183496,0,0,1645349629614755842,304,305
130633000000,易县,3,,1645349651689377792,0,0,1645349629614755842,306,307
130634000000,曲阳县,3,,1645349651689377793,0,0,1645349629614755842,308,309
130635000000,蠡县,3,,1645349651689377794,0,0,1645349629614755842,310,311
130636000000,顺平县,3,,1645349651689377795,0,0,1645349629614755842,312,313
130637000000,博野县,3,,1645349651689377796,0,0,1645349629614755842,314,315
130638000000,雄县,3,,1645349651689377797,0,0,1645349629614755842,316,317
130671000000,保定高新技术产业开发区,3,,1645349651689377798,0,0,1645349629614755842,318,319
130672000000,保定白沟新城,3,,1645349651689377799,0,0,1645349629614755842,320,321
130681000000,涿州市,3,,1645349651689377800,0,0,1645349629614755842,322,323
130682000000,定州市,3,,1645349651693572096,0,0,1645349629614755842,324,325
130683000000,安国市,3,,1645349651693572097,0,0,1645349629614755842,326,327
130684000000,高碑店市,3,,1645349651693572098,0,0,1645349629614755842,328,329
310100000000,市辖区,2,,1645349654562476032,0,0,1645349607473025024,1789,1822
130701000000,市辖区,3,,1645349655497805824,0,0,1645349629614755843,332,333
130702000000,桥东区,3,,1645349655502000128,0,0,1645349629614755843,334,335
130703000000,桥西区,3,,1645349655502000129,0,0,1645349629614755843,336,337
130705000000,宣化区,3,,1645349655502000130,0,0,1645349629614755843,338,339
130706000000,下花园区,3,,1645349655502000131,0,0,1645349629614755843,340,341
130708000000,万全区,3,,1645349655506194432,0,0,1645349629614755843,342,343
130709000000,崇礼区,3,,1645349655506194433,0,0,1645349629614755843,344,345
130722000000,张北县,3,,1645349655506194434,0,0,1645349629614755843,346,347
130723000000,康保县,3,,1645349655506194435,0,0,1645349629614755843,348,349
130724000000,沽源县,3,,1645349655506194436,0,0,1645349629614755843,350,351
130725000000,尚义县,3,,1645349655506194437,0,0,1645349629614755843,352,353
130726000000,蔚县,3,,1645349655506194438,0,0,1645349629614755843,354,355
130727000000,阳原县,3,,1645349655510388736,0,0,1645349629614755843,356,357
130728000000,怀安县,3,,1645349655510388737,0,0,1645349629614755843,358,359
130730000000,怀来县,3,,1645349655510388738,0,0,1645349629614755843,360,361
130731000000,涿鹿县,3,,1645349655510388739,0,0,1645349629614755843,362,363
130732000000,赤城县,3,,1645349655510388740,0,0,1645349629614755843,364,365
130771000000,张家口经济开发区,3,,1645349655510388741,0,0,1645349629614755843,366,367
130772000000,张家口市察北管理区,3,,1645349655514583040,0,0,1645349629614755843,368,369
130773000000,张家口市塞北管理区,3,,1645349655514583041,0,0,1645349629614755843,370,371
320100000000,南京市,2,,1645349657800478720,0,0,1645349607473025025,1825,1850
320200000000,无锡市,2,,1645349657800478721,0,0,1645349607473025025,1851,1868
320300000000,徐州市,2,,1645349657800478722,0,0,1645349607473025025,1869,1894
320400000000,常州市,2,,1645349657800478723,0,0,1645349607473025025,1895,1910
320500000000,苏州市,2,,1645349657800478724,0,0,1645349607473025025,1911,1934
320600000000,南通市,2,,1645349657804673024,0,0,1645349607473025025,1935,1954
320700000000,连云港市,2,,1645349657804673025,0,0,1645349607473025025,1955,1974
320800000000,淮安市,2,,1645349657804673026,0,0,1645349607473025025,1975,1994
320900000000,盐城市,2,,1645349657804673027,0,0,1645349607473025025,1995,2018
321000000000,扬州市,2,,1645349657804673028,0,0,1645349607473025025,2019,2036
321100000000,镇江市,2,,1645349657804673029,0,0,1645349607473025025,2037,2054
321200000000,泰州市,2,,1645349657804673030,0,0,1645349607473025025,2055,2072
321300000000,宿迁市,2,,1645349657804673031,0,0,1645349607473025025,2073,2088
130801000000,市辖区,3,,1645349659599835136,0,0,1645349629614755844,374,375
130802000000,双桥区,3,,1645349659599835137,0,0,1645349629614755844,376,377
130803000000,双滦区,3,,1645349659599835138,0,0,1645349629614755844,378,379
130804000000,鹰手营子矿区,3,,1645349659599835139,0,0,1645349629614755844,380,381
130821000000,承德县,3,,1645349659604029440,0,0,1645349629614755844,382,383
130822000000,兴隆县,3,,1645349659604029441,0,0,1645349629614755844,384,385
130824000000,滦平县,3,,1645349659604029442,0,0,1645349629614755844,386,387
130825000000,隆化县,3,,1645349659604029443,0,0,1645349629614755844,388,389
130826000000,丰宁满族自治县,3,,1645349659604029444,0,0,1645349629614755844,390,391
130827000000,宽城满族自治县,3,,1645349659604029445,0,0,1645349629614755844,392,393
130828000000,围场满族蒙古族自治县,3,,1645349659604029446,0,0,1645349629614755844,394,395
130871000000,承德高新技术产业开发区,3,,1645349659604029447,0,0,1645349629614755844,396,397
130881000000,平泉市,3,,1645349659604029448,0,0,1645349629614755844,398,399
330100000000,杭州市,2,,1645349661319499776,0,0,1645349607473025026,2091,2120
330200000000,宁波市,2,,1645349661319499777,0,0,1645349607473025026,2121,2144
330300000000,温州市,2,,1645349661319499778,0,0,1645349607473025026,2145,2172
330400000000,嘉兴市,2,,1645349661319499779,0,0,1645349607473025026,2173,2190
330500000000,湖州市,2,,1645349661323694080,0,0,1645349607473025026,2191,2204
330600000000,绍兴市,2,,1645349661323694081,0,0,1645349607473025026,2205,2220
330700000000,金华市,2,,1645349661323694082,0,0,1645349607473025026,2221,2242
330800000000,衢州市,2,,1645349661323694083,0,0,1645349607473025026,2243,2258
330900000000,舟山市,2,,1645349661323694084,0,0,1645349607473025026,2259,2270
331000000000,台州市,2,,1645349661323694085,0,0,1645349607473025026,2271,2292
331100000000,丽水市,2,,1645349661323694086,0,0,1645349607473025026,2293,2314
130901000000,市辖区,3,,1645349663106273280,0,0,1645349629614755845,402,403
